identifier,rel:synonym,rel:hasAntonym,rel:hasHyponym,rel:hasMeronym,rel:hasHolonym,rel:hasHypernym,gloss,exampleSentences,pos,objectType
hi:S:00006589,"hi:W:000065890,hi:W:000065891,hi:W:000065892,hi:W:000065893,",,,,,, किसी को बैठने में प्रवृत्त करना,"वह बच्चे को कुर्सी पर बैठा रहा है ।",Verb,Synset
hi:S:00006590,"hi:W:000065900,hi:W:000065901,hi:W:000065903,",,hi:S:00000776,,,hi:S:00006305, कोई विशेष धार्मिक मत या प्रणाली,"वह शैव सम्प्रदाय का अनुयायी है ।",Noun,Synset
hi:S:00006591,"hi:W:000065911,hi:W:000065912,hi:W:000065913,",,hi:S:00005889,,,hi:S:00005828, आने-जाने का चौड़ा पक्का रास्ता,"यह सड़क सीधे दिल्ली जाती है ।",Noun,Synset
hi:S:00006592,"hi:W:000065921,hi:W:000065922,",,hi:S:00000466,,,hi:S:00000020, चावल, रोटी आदि के साथ खाये जाने वाले पदार्थ,"त्योहारों में तरह-तरह के व्यंजन बनाए जाते हैं ।",Noun,Synset
hi:S:00006593,"",,,,,hi:S:00004816, नारियल के फल की खोपड़ी का बना हुआ हुक्का,"वह नारियल का कश ले रहा है ।",Noun,Synset
hi:S:00006594,"hi:W:000065940,hi:W:000065941,hi:W:000065942,hi:W:000065943,hi:W:000065944,hi:W:000065949,",hi:S:00008613,hi:S:00002764,,hi:S:00028999,hi:S:00000020, तेल या घी में पकाया हुआ खाद्य,"त्योहारों में मालपुआ, पूरी आदि तरह-तरह के पकवान बनते हैं ।",Noun,Synset
hi:S:00006595,"hi:W:000065950,hi:W:000065951,hi:W:000065952,",,,,,, आग पर रखकर गलाना या तैयार करना,"मांस को ठीक से पकाया नहीं गया है ।",Verb,Synset
hi:S:00006596,"hi:W:000065960,hi:W:000065961,hi:W:000065962,hi:W:000065964,hi:W:000065965,hi:W:000065966,hi:W:000065967,hi:W:000065968,",,,,,, खाना बनाना,"माँ ने सबके लिए भोजन पकाया ।",Verb,Synset
hi:S:00006597,"",,,,,, फल आदि को तैयार करना या पकाना,"उसने आम पकाया ।",Verb,Synset
hi:S:00006598,"hi:W:000065980,hi:W:000065981,",,,,,hi:S:00007418, साधु-संन्यासियों की वह भिक्षा जिसमें वे केवल पका हुआ भोजन लेते हैं,"साधु महाराज द्वार पर बैठकर मधुकरी का भोग लगा रहे हैं ।",Noun,Synset
hi:S:00006599,"hi:W:000065991,hi:W:000065992,hi:W:000065993,hi:W:000065994,",,,,,, जिसके संबंध में यह लिखा गया हो कि यह प्रमाणिक या ठीक है,"यह प्रमाणित बीज है । / तहसीलदार से उसे अपना निवास प्रमाण-पत्र प्रमाणित कराना पड़ा ।",Adjective,Synset
hi:S:00006600,"hi:W:000066000,hi:W:000066001,",,,,,, जिसका समर्थन किया गया हो,"यह उम्मीदवार हमलोगों द्वारा समर्थित है ।",Adjective,Synset
hi:S:00006601,"hi:W:000066010,hi:W:000066011,hi:W:000066012,",,,,,, शब्दों और वर्णों का रुक-रुककर अधूरा और अस्पष्ट उच्चारण करना,"छोटा बच्चा पानी माँगते समय तुतला रहा था ।",Verb,Synset
hi:S:00006602,"hi:W:000066020,hi:W:000066022,",,,,,hi:S:00003802, तराज़ू का पल्ला,"उसने वजन करने के लिए तराजू के एक पलड़े पर बाट रखा और दूसरे पर सामग्री ।",Noun,Synset
hi:S:00006603,"hi:W:000066030,hi:W:000066031,hi:W:000066032,hi:W:000066033,",,,,,hi:S:00001423, एक रोग जिसमें मनुष्य को नींद बिल्कुल नहीं आती या कभी-कभी और बहुत कम आती है,"अनिद्रा से पीड़ित रोगी खाट पर करवटें बदल रहा था ।",Noun,Synset
hi:S:00006604,"hi:W:000066041,hi:W:000066042,hi:W:000066043,",,hi:S:00000914,,,hi:S:00006103, चांद्रमास के पंद्रह-पंद्रह दिनों के दो विभागों में से कोई एक भाग,"भगवान कृष्ण का जन्म कृष्ण पक्ष की अष्टमी को हुआ था ।",Noun,Synset
hi:S:00006605,"hi:W:000066050,hi:W:000066051,",,hi:S:00010806,,hi:S:00037895,hi:S:00004077, व्यक्तियों का वह दल जो राजनीति से संबद्ध हो या राजनीतिक क्रिया-कलापों में भाग लेता हो,"भारत में राजनीतिक दल कुकुरमुत्तों की तरह उग आये हैं ।",Noun,Synset
hi:S:00006606,"hi:W:000066060,",,hi:S:00003874,,,hi:S:00006936, वह विषय जिसपर विचार करना आवश्यक या उचित हो,"पाश्चात्य सभ्यता का अंधानुकरण हम भारतीयों के लिए एक विचारणीय विषय है ।",Noun,Synset
hi:S:00006607,"hi:W:000066070,hi:W:000066071,hi:W:000066072,hi:W:000066073,",,hi:S:00038426,,,hi:S:00012149, औचित्य या न्याय का विचार छोड़कर किसी एक पक्ष के अनुरूप होने वाली प्रवृत्ति या सहानुभूति और उस पक्ष को समर्थन देने की क्रिया या भाव,"हमें पक्षपात से ऊपर उठकर सर्व कल्याण हेतु कार्य करना चाहिए ।",Noun,Synset
hi:S:00006608,"hi:W:000066080,hi:W:000066081,hi:W:000066082,",,,,,, जिसे पंख हो,"सभी पक्षी पंखदार होते हैं ।",Adjective,Synset
hi:S:00006609,"hi:W:000066090,",,,,,hi:S:00002733, किसी कार्य, स्थान या देश पर एक व्यक्ति, दल या समाज का होनेवाला आधिपत्य,"एक समय भारत पर अंग्रेजों का एकाधिपत्य था ।",Noun,Synset
hi:S:00006610,"hi:W:000066100,hi:W:000066101,hi:W:000066102,hi:W:000066103,hi:W:000066104,hi:W:000066105,hi:W:000066106,hi:W:000066107,hi:W:000066109,hi:W:0000661010,hi:W:0000661011,hi:W:0000661012,",,,,,hi:S:00004417, एक प्रकार का हिरन जो विशेषकर दक्षिण एशिया में पाया जाता है,"साँभर की खाल के बने पहनावे बहुत ही गरम होते हैं ।",Noun,Synset
hi:S:00006611,"hi:W:000066110,",,,,,hi:S:00001780, चलने या दौड़ने में एक जगह से पैर उठाकर दूसरी जगह रखने की क्रिया,"वह जल्दी घर पहुँचने के लिए लंबे-लंबे डग भर रहा था ।",Noun,Synset
hi:S:00006612,"hi:W:000066120,hi:W:000066121,hi:W:000066122,hi:W:000066123,hi:W:000066124,hi:W:000066125,hi:W:000066126,hi:W:000066128,hi:W:0000661210,",,hi:S:00017237,,,hi:S:00002183, सिर पर लपेटकर बाँधा जाने वाला लम्बा कपड़ा,"वह धूप में काम करते समय पगड़ी बाँध लेता है ।",Noun,Synset
hi:S:00006613,"hi:W:000066130,hi:W:000066131,hi:W:000066132,",,,,,hi:S:00001978, विवाह के समय वर को पहनाया जानेवाला एक प्रकार का शिरोभूषण,"दूल्हे के सिर पर मौर सुशोभित था ।",Noun,Synset
hi:S:00006614,"hi:W:000066140,",,,,,, जिसे अपने निवास स्थान से मार या उजाड़कर भगा दिया गया हो,"उद्वासित व्यक्ति मारा-मारा फिर रहा है ।",Adjective,Synset
hi:S:00006615,"hi:W:000066151,",,,,,hi:S:00000859, वह धन जो मालिक अपना मकान या दूकान आदि किराये पर देने के समय किराये के अतिरिक्त यों ही ले लेता है,"वह दो कमरे के लिए बीस हजार पगड़ी और दो हजार रुपये प्रति महीने भाड़ा माँग रहा है ।",Noun,Synset
hi:S:00006616,"hi:W:000066160,hi:W:000066161,hi:W:000066162,hi:W:000066163,hi:W:000066164,hi:W:000066166,hi:W:000066167,hi:W:000066168,hi:W:000066169,hi:W:0000661612,hi:W:0000661613,",,,,,hi:S:00003606, सूर्य के अस्त होने की दिशा या पूरब के सामने की दिशा,"मेरा घर यहाँ से पश्चिम में है ।",Noun,Synset
hi:S:00006617,"hi:W:000066170,hi:W:000066172,",,,,,hi:S:00002559, वह जो गहनों के मनकों या दानों आदि को सूत या रेशम में पिरोने का काम करता हो,"गुहेरा मोती की माला बना रहा है ।",Noun,Synset
hi:S:00006618,"hi:W:000066180,hi:W:000066181,hi:W:000066182,hi:W:000066183,hi:W:000066184,hi:W:000066185,",,,,,, अपने द्वारा किये हुए किसी अनुचित कार्य के संबंध में पीछे से मन में दुखी या खिन्न होना,"निर्दोष श्याम को डाँटने के बाद वह पछता रहा था ।",Verb,Synset
hi:S:00006619,"hi:W:000066190,",,,,,hi:S:00005489, किसी राष्ट्र में प्रचलित वह प्रधान भाषा जिसका व्यवहार उस राष्ट्र में रहने वाले अन्य भाषा-भाषी भी सार्वजनिक कामों में करते हैं,"हिंदी भारत की राष्ट्र भाषा है ।",Noun,Synset
hi:S:00006620,"hi:W:000066200,hi:W:000066201,hi:W:000066202,hi:W:000066203,hi:W:000066204,hi:W:000066205,hi:W:000066206,",,,,,hi:S:00000075, दानशील होने की अवस्था या भाव,"कर्ण की दानशीलता ही उसके मृत्यु का कारण बनी ।",Noun,Synset
hi:S:00006621,"hi:W:000066213,hi:W:000066214,hi:W:000066215,",,,,,, पेट या मुँह के बल या ऊपर का नीचे या नीचे का ऊपर,"मेज़ पर गिलास उल्टे रखे हैं । / सीमा हमेशा पट सोती है ।",Adverb,Synset
hi:S:00006622,"hi:W:000066220,hi:W:000066221,",,,,,hi:S:00006635, शहद के समान गाढ़ा किया हुआ शर्बत,"माँ बच्चे को किमाम पिला रही है ।",Noun,Synset
hi:S:00006623,"hi:W:000066230,hi:W:000066231,hi:W:000066232,hi:W:000066237,hi:W:000066238,",,,,,hi:S:00000801, रंगमंच का पर्दा,"यवनिका के उठते ही सभी रंगकर्मी मंच पर दृष्टिगत हुए ।",Noun,Synset
hi:S:00006624,"hi:W:000066240,hi:W:000066241,hi:W:000066243,hi:W:000066244,",,hi:S:00015734,,,hi:S:00002183, रेशम से बना हुआ वस्त्र,"नृत्यांगना रेशमी वस्त्र पहनकर नृत्य कर रही है ।",Noun,Synset
hi:S:00006625,"hi:W:000066250,hi:W:000066251,hi:W:000066252,hi:W:000066253,hi:W:000066254,hi:W:000066255,hi:W:000066256,hi:W:000066257,hi:W:000066258,hi:W:0000662511,hi:W:0000662514,hi:W:0000662515,hi:W:0000662516,",,,,,, जिसे लज्जा हुई हो,"वह अपने किए पर लज्जित है ।",Adjective,Synset
hi:S:00006626,"hi:W:000066260,hi:W:000066261,hi:W:000066262,",,,,,hi:S:00012149, पटकने की क्रिया या भाव,"फुर्तीले पहलवान ने मोटे पहलवान को एक जोरदार पटकनी दी ।",Noun,Synset
hi:S:00006627,"hi:W:000066270,hi:W:000066271,hi:W:000066272,hi:W:000066274,hi:W:000066275,",,,,,hi:S:00003345, बच्चों के लिखने की मुठिया लगी तख़्ती जो लकड़ी की बनी होती है,"वह खड़िया से पटरी पर लिख रहा है ।",Noun,Synset
hi:S:00006628,"hi:W:000066281,hi:W:000066282,hi:W:000066283,hi:W:000066284,hi:W:000066285,hi:W:000066286,hi:W:000066287,",,,,,hi:S:00003345, लोहे की वे लम्बी समानान्तर छड़ें जिन पर रेलगाड़ी के पहिए दौड़ते हैं,"हमारे शहर से होकर नयी पटरी बिछाई जा रही है ।",Noun,Synset
hi:S:00006629,"hi:W:000066290,hi:W:000066291,",,,,,hi:S:00005828, सड़क के किनारे का वह भाग जिनपर लोग पैदल चलते हैं,"सड़क दुर्घटना से बचने के लिए पैदल यात्रियों को फुटपाथ पर चलना चाहिए ।",Noun,Synset
hi:S:00006630,"",,,,,hi:S:00006896, सुनहले या रूपहले तारों से बना हुआ फीता जो कपड़ों पर टाँका जाता है,"उसके सफेद कुर्ते पर पटरी अच्छी लग रही है ।",Noun,Synset
hi:S:00006631,"",,,,,hi:S:00000975, हाथ में पहनने की एक प्रकार की चूड़ी,"सीता अपने हाथों में रंगीन पटरी पहने हुए थी ।",Noun,Synset
hi:S:00006632,"",,,,,hi:S:00003264, बरछे की तरह का एक प्राचीन अस्त्र,"नए-नए हथियारों के निर्माण से शूल का अस्तित्व समाप्त सा हो गया है ।",Noun,Synset
hi:S:00006633,"hi:W:000066330,hi:W:000066333,",,hi:S:00031915,,,hi:S:00002732, किसी स्थावर सम्पत्ति या भूमि के उपभोग का वह पत्र जो स्वामी की ओर से असामी या ठेकेदार को मिलता है,"ग्राम-प्रधान ने गाँव के सभी तालाबों का पट्टा अपने सगे-संबंधियों को दिया है ।",Noun,Synset
hi:S:00006634,"hi:W:000066340,",,,,,hi:S:00002732, किसी वस्तु, कार्य या व्यापार आदि पर किसी व्यक्ति, दल या समाज का होनेवाला पूरा-पूरा अधिकार,"इस व्यापार में उसका एकाधिकार है ।",Noun,Synset
hi:S:00006635,"hi:W:000066350,hi:W:000066351,hi:W:000066353,hi:W:000066354,",,hi:S:00006622,,,hi:S:00006798, वह पानी जिसमें शक्कर, खाँड़ आदि घुला हो,"खाँड़ की अपेक्षा गुड़ का शर्बत अधिक अच्छा होता है ।",Noun,Synset
hi:S:00006636,"hi:W:000066360,hi:W:000066361,",,,,,hi:S:00006690, वह बड़ा लिफाफा जिसमें राजकीय आज्ञापत्र आदि भेजे जाते हैं,"उसे आज ही राजस्व विभाग से एक खरीता प्राप्त हुआ है ।",Noun,Synset
hi:S:00006637,"",,hi:S:00022621,,,hi:S:00008994, चमड़े आदि का वह तसमा जो कुत्तों, बिल्लियों आदि के गले में पहनाया जाता है,"कुत्ते के गले में एक मजबूत पट्टा लगा हुआ था ।",Noun,Synset
hi:S:00006638,"hi:W:000066380,hi:W:000066381,hi:W:000066382,hi:W:000066384,",,,,,, रेशम का बना हुआ,"वह रेशमी वस्त्र पहने हुए था ।",Adjective,Synset
hi:S:00006639,"hi:W:000066390,hi:W:000066391,hi:W:000066394,",,hi:S:00008903,,,hi:S:00002927, महीन,चमकीले और दृढ़ तंतु जो एक विशेष प्रकार के कीट (रेशम के कीट) से प्राप्त होते हैं,"यह रेशम से बना हुआ कपड़ा है ।",Noun,Synset
hi:S:00006640,"",,hi:S:00022578,,,hi:S:00006635, वह पेय जिसमें चीनी, गुड़ आदि घुला हो तथा स्वाद के लिए फलों का रस या अर्क आदि मिला हो,"रामू मेहमानों को शरबत पिला रहा है ।",Noun,Synset
hi:S:00006641,"hi:W:000066410,hi:W:000066412,hi:W:000066413,",,hi:S:00018081,,,hi:S:00008994, कमर में बाँधने का चमड़े आदि का बना चौड़ा तसमा,"वह एक पुराना बेल्ट पहने हुए था ।",Noun,Synset
hi:S:00006642,"hi:W:000066420,hi:W:000066421,hi:W:000066422,hi:W:000066423,hi:W:000066425,",,,,,hi:S:00000020, धान को भून और कूटकर बनाया हुआ चिपटा दाना,"पंडितजी दही और चिउड़ा खा रहे हैं ।",Noun,Synset
hi:S:00006643,"",,hi:S:00006646,,,hi:S:00007155, एक प्रकार की बरछी,"शिकारी ने साँग से जंगली सूअर पर वार किया ।",Noun,Synset
hi:S:00006644,"hi:W:000066440,hi:W:000066441,",,,,,hi:S:00001978, एक तिकोना,छोटा शिरोभूषण जो विवाह के समय कन्या के सिर पर बाँधा जाता है,"विवाह मंडप में बैठी कन्या के सिर पर मउरी शोभयमान है ।",Noun,Synset
hi:S:00006645,"hi:W:000066450,hi:W:000066451,hi:W:000066452,hi:W:000066453,",,,,,, जिसके पास बहुत थोड़ी पूँजी हो,"सारा व्यापार चौपट हो जाने से श्याम अब टटपूँजिया हो गया है ।",Adjective,Synset
hi:S:00006646,"hi:W:000066460,hi:W:000066461,",,,,,hi:S:00006643, छोटा साँग,"उसने साँगी से साँप पर प्रहार किया ।",Noun,Synset
hi:S:00006647,"hi:W:000066470,hi:W:000066472,hi:W:000066473,",,,,,hi:S:00001090, बालों का गुच्छा या एक साथ चिपके या बँधे हुए बाल,"गालों पर लटकती लटें उसकी सुन्दरता को बढ़ा रही हैं । / माँ बच्ची की लट को जूड़े का रूप दे रही है ।",Noun,Synset
hi:S:00006648,"hi:W:000066480,hi:W:000066481,hi:W:000066482,hi:W:000066483,hi:W:000066484,",,,,,hi:S:00002063, एक प्रकार की छोटी चिड़िया,"सिरोही केंचुए को चोंच में दबाये उड़ गई ।",Noun,Synset
hi:S:00006649,"hi:W:000066492,hi:W:000066493,hi:W:000066495,",,hi:S:00010640,,,hi:S:00001957, किसी संपत्ति या उससे होने वाली आय का भाग या अंश,"उसने मेरा हिस्सा भी दबा लिया । / इसमें मेरा भी साझा है ।",Noun,Synset
hi:S:00006650,"hi:W:000066503,",,,,,, रेशम की तरह चिकना और मुलायम,"उसके रेशमी बाल बहुत अच्छे लगते हैं ।",Adjective,Synset
hi:S:00006651,"hi:W:000066511,",,hi:S:00006782,,,hi:S:00000183, पुस्तक या लेख आदि में लिखी हुई बातें या विषय देखने या पढ़ने की क्रिया,"राम वेद का पठन कर रहा है ।",Noun,Synset
hi:S:00006652,"hi:W:000066520,hi:W:000066521,",,,,,hi:S:00003288, एक प्रकार का पौधा,"पत्तरचूर की पत्तियाँ औषध के रूप में काम आती हैं ।",Noun,Synset
hi:S:00006653,"hi:W:000066530,",,,,,hi:S:00003108, वह लम्बा-चौड़ा ऊँचा मैदान जो आस-पास की किसी ओर की ज़मीन से बहुत ऊँचाई पर हो,"इस क्षेत्र में पठारों की अधिकता है ।",Noun,Synset
hi:S:00006654,"hi:W:000066540,hi:W:000066541,hi:W:000066542,hi:W:000066543,",,,,,hi:S:00002106, हिंदू धर्म ग्रंथों में वर्णित एक प्रकार का बाण, जिसके प्रयोग से बादल छा जाते थे,"योद्धाओं द्वारा चलाए गए घनबानों के प्रयोग से समर भूमि में बादल छा जाते थे ।",Noun,Synset
hi:S:00006655,"hi:W:000066550,hi:W:000066551,",,,,,hi:S:00010600, घड़ी की मरम्मत करनेवाला व्यक्ति,"उसने अपनी बिगड़ी घड़ी की मरम्मत एक कुशल घड़ीसाज से कराई ।",Noun,Synset
hi:S:00006656,"hi:W:000066560,",,,,,, जिसमें दाँते बने हों,"यह हँसुआ दाँतेदार है ।",Adjective,Synset
hi:S:00006657,"hi:W:000066570,hi:W:000066571,",,hi:S:00005215,,,hi:S:00006659, वह जो क्राति का पक्षधर हो,"क्रांतिवादी क्रांति के द्वारा समाज में अमूल परिवर्तन लाना चाहते हैं ।",Noun,Synset
hi:S:00006658,"hi:W:000066580,hi:W:000066581,hi:W:000066582,hi:W:000066583,hi:W:000066584,hi:W:000066585,hi:W:000066587,hi:W:000066588,hi:W:000066589,hi:W:0000665810,hi:W:0000665811,hi:W:0000665812,hi:W:0000665813,hi:W:0000665814,hi:W:0000665815,hi:W:0000665816,hi:W:0000665817,",,hi:S:00013260,,,hi:S:00002535, एक लता का पत्ता जिस पर कत्था, चूना आदि लगाकर और उसका बीड़ा बनाकर खाया जाता है,"वह पान तोड़कर टोकरी में रख रहा है ।",Noun,Synset
hi:S:00006659,"hi:W:000066590,hi:W:000066591,",,hi:S:00006657,,,hi:S:00000213, वह जो समाज में किसी भी प्रकार के परिवर्तन का पक्षपाती हो,"परिवर्तनवादी ही राजनितिक या सामाजिक परिवर्तन कर समाज को एक नई दिशा प्रदान करते हैं ।",Noun,Synset
hi:S:00006660,"",,,,,hi:S:00001856, राम की सेना के एक वानर जिन्होंने सागर पर सेतु का निर्माण किया था,"नल एक कुशल शिल्पकार थे ।",Noun,Synset
hi:S:00006661,"",,,,,hi:S:00001502, राज्यपाल आदि का सरकारी आवास,"मुख्यमंत्री राज्यपाल से मिलने राजभवन पहुँचे ।",Noun,Synset
hi:S:00006662,"hi:W:000066620,hi:W:000066621,hi:W:000066622,hi:W:000066623,hi:W:000066624,hi:W:000066625,",,,,,, इंद्र को जीतनेवाला,"रावण का पुत्र मेघनाद इंद्रजीत था ।",Adjective,Synset
hi:S:00006663,"hi:W:000066631,hi:W:000066633,",,hi:S:00016478,,,hi:S:00003345, खेत में बना वह मचान जिस पर बैठकर किसान फसल की रखवाली करता है,"मचान पर सोया किसान पशुओं की आवाज सुनकर जाग गया ।",Noun,Synset
hi:S:00006664,"hi:W:000066640,hi:W:000066641,hi:W:000066642,hi:W:000066643,hi:W:000066644,hi:W:000066645,",,hi:S:00037083,,,hi:S:00006591, लोगों के उपयोग के लिए बनी हुई बहुत लंबी और पक्की सड़क,"यह राजपथ गुजरात होते हुए मुम्बई तक जाता है ।",Noun,Synset
hi:S:00006665,"hi:W:000066650,",,,,,hi:S:00006552, पेट्रोल या डीज़ल से चलनेवाली दुपहिया गाड़ी जिसके पहिए थोड़े छोटे होते हैं,"वह प्रतिदिन स्कूटर से कार्यालय जाता है ।",Noun,Synset
hi:S:00006666,"hi:W:000066660,hi:W:000066662,hi:W:000066663,hi:W:000066664,hi:W:000066665,",,,,,, जो जाति से निकाला हुआ हो,"राम अजाति लोगों की मदद करता है ।",Adjective,Synset
hi:S:00006667,"",,,,,hi:S:00006138, बहुत बड़ी दाढ़ी,"छोटा बच्चा साधुबाबा का दाढ़ा देखकर डर गया ।",Noun,Synset
hi:S:00006668,"hi:W:000066680,hi:W:000066681,hi:W:000066682,hi:W:000066683,hi:W:000066684,hi:W:000066685,hi:W:000066686,",,,,,, किसी की कही हुई बात ठीक मानना,"मोहित ने मोना की झूठी बातों पर विश्वास किया ।",Verb,Synset
hi:S:00006669,"hi:W:000066690,hi:W:000066691,hi:W:000066692,hi:W:000066694,",,hi:S:00032692,hi:S:00002535,,hi:S:00001866, पत्तों को जोड़कर बनाया हुआ थाली के समान वह बड़ा गोलाकार आधार जिस पर खाने आदि के लिए चीज़ें रखी जाती हैं,"समारोह में सभी आगंतुक पंगत में बैठकर पत्तल में खाना खा रहे थे ।",Noun,Synset
hi:S:00006671,"hi:W:000066710,",,,hi:S:00006693,,hi:S:00000346, किसी पुस्तक या कापी आदि में लगी हुई वह वस्तु जिसके दोनों ओर कुछ लिखा होता है या लिखते हैं,"बच्चे ने इस पुस्तक का एक पन्ना फाड़ दिया ।",Noun,Synset
hi:S:00006672,"",hi:S:00001625,hi:S:00009377,,,hi:S:00005193, नर हिरण ,"हिरण और हिरणी का एक जोड़ा बाग में उछल-कूद कर रहा है ।",Noun,Synset
hi:S:00006673,"hi:W:000066730,hi:W:000066731,",,,,,hi:S:00000492, एक विशेष प्रकार का पहनावा जो वकीलों,डाक्टरों,विद्वानों आदि के लिए अलग-अलग बनावट का नियत है,"न्यायालय से बाहर आते ही वकील ने गाउन निकालकर कंधे पर रख लिया ।",Noun,Synset
hi:S:00006674,"hi:W:000066743,hi:W:000066744,hi:W:000066745,hi:W:000066746,hi:W:000066747,hi:W:000066749,hi:W:0000667410,hi:W:0000667411,hi:W:0000667412,hi:W:0000667413,hi:W:0000667414,hi:W:0000667416,hi:W:0000667417,hi:W:0000667418,",,hi:S:00013259,hi:S:00006658,hi:S:00011759,hi:S:00007897, एक लता जिसके पत्तों पर कत्था, चूना आदि लगाकर और उनका बीड़ा बनाकर खाया जाता है,"इस साल पान के पत्ते बढ़ नहीं रहे हैं ।",Noun,Synset
hi:S:00006675,"hi:W:000066750,hi:W:000066751,hi:W:000066752,",,,,,, जिसमें विष न हो,"कुछ साँप विषहीन होते हैं ।",Adjective,Synset
hi:S:00006676,"hi:W:000066761,",,,,,hi:S:00002043, मिट्टी की वह गोली जिसको गुलेल पर रखकर निशाना साधा जाता है,"गुलेला लगते ही पक्षी नीचे आ गिरा ।",Noun,Synset
hi:S:00006677,"hi:W:000066770,",,hi:S:00034347,,,hi:S:00002106, हिन्दू धर्मग्रंथों में वर्णित वह अस्त्र जो देवता प्रदत्त होता था और मंत्र द्वारा चलाया जाता था,"कर्ण ने घटोत्कच को मारने के लिए दिव्यास्त्र का प्रयोग किया ।",Noun,Synset
hi:S:00006678,"hi:W:000066780,",,hi:S:00019366,,,hi:S:00007718, राजनीति का अच्छा ज्ञाता,"लाल बहादुर शास्त्री एक कुशल राजनीतिज्ञ थे ।",Noun,Synset
hi:S:00006679,"",,,,,hi:S:00003136, ईंट या पत्थर का छोटा टुकड़ा,"बच्चे रोड़ा उठा-उठाकर तालाब में फेंक रहे थे ।",Noun,Synset
hi:S:00006680,"hi:W:000066800,",,,,,hi:S:00000020, पके हुए अन्न का वह थोड़ा-सा अंश जो भोजन या श्राद्ध आदि के समय गाय के लिए निकाला जाता है,"हमारे यहाँ प्रतिदिन भोजन करने से पहले गाय को गोग्रास खिलाया जाता है ।",Noun,Synset
hi:S:00006681,"hi:W:000066811,hi:W:000066812,hi:W:000066813,hi:W:000066814,",,hi:S:00035308,,,hi:S:00011002, विशेषकर नियत समय पर प्रकाशित होनेवाली एक विशेष प्रकार की वह पुस्तक जिसमें कोई सूचना, जानकारी, किसी के विचार या कोई वर्णन हो,"वह पत्रिका पढ़ना पसंद करता है ।",Noun,Synset
hi:S:00006682,"hi:W:000066820,hi:W:000066821,",,,,,, जिसके सामने या बीच में रहने पर उस पार की चीज़ दिखाई न पड़े,"लकड़ी अपारदर्शक होती है ।",Adjective,Synset
hi:S:00006683,"hi:W:000066830,hi:W:000066831,",,,,,, जो संतोषजनक न हो या जिससे संतोष न मिले,"आपका काम असंतोषजनक है ।",Adjective,Synset
hi:S:00006684,"hi:W:000066840,hi:W:000066841,hi:W:000066842,",,,,,hi:S:00001206, जप करने की सत्ताइस दानों की छोटी माला,"दादी हर समय हाथ में सुमरनी लिए रहती हैं ।",Noun,Synset
hi:S:00006685,"hi:W:000066850,",,hi:S:00034882,,,hi:S:00004897, वह गीत जिसमें ईश्वर या देवता के गुणों या सत्कर्मों का श्रद्धापूर्ण वर्णन हो,"इस पुस्तक में बहुत ही अच्छे भजन संग्रहीत हैं ।",Noun,Synset
hi:S:00006686,"hi:W:000066860,",,,,,hi:S:00003624, घर की चार दीवारी से बाहर की हवा,"सुबह-सुबह खुली हवा में टहलना स्वास्थ्य के लिए अच्छा होता है ।",Noun,Synset
hi:S:00006687,"",,,,,hi:S:00001929, देवी-देवताओं के पैरों के बनाये हुए वे चिह्न जिनकी पूजा की जाती है,"इस पूजाघर में अधिकांश देवताओं के पदक बने हुए हैं ।",Noun,Synset
hi:S:00006688,"hi:W:000066880,hi:W:000066881,",,,,,hi:S:00005518, पानी के अंदर डूबकर चलनेवाला एक प्रकार का आधुनिक जलयान,"पनडुब्बी में सवार सैनिकों ने अचानक शत्रु पक्ष पर हमला बोल दिया ।",Noun,Synset
hi:S:00006689,"hi:W:000066892,hi:W:000066893,hi:W:000066894,hi:W:000066895,hi:W:000066896,hi:W:000066897,",,,,,hi:S:00000750, पानी में गोता लगाकर मछलियाँ पकड़ने वाला एक जल पक्षी,"झील में पनडुब्बियाँ तैर रही हैं ।",Noun,Synset
hi:S:00006690,"",,hi:S:00006636,,,hi:S:00001866, कागज का वह चौकोर घर या पुट जिसके अंदर चिट्ठियाँ आदि रखी जाती हैं,"पिताजी द्वारा भेजा हुआ लिफाफा पाकर वह बहुत प्रसन्न हुआ ।",Noun,Synset
hi:S:00006691,"hi:W:000066910,hi:W:000066912,hi:W:000066913,",,,,,hi:S:00006635, एक तरह का शर्बत जो आम, इमली आदि से बनता है,"मुझे पना पीना पसंद है ।",Noun,Synset
hi:S:00006692,"hi:W:000066921,hi:W:000066922,hi:W:000066923,hi:W:000066924,hi:W:000066925,hi:W:000066926,hi:W:000066927,hi:W:000066928,hi:W:000066929,hi:W:0000669210,hi:W:0000669211,hi:W:0000669212,hi:W:0000669213,",,hi:S:00008178,,hi:S:00001231,hi:S:00005676, फिरोज़ी या हरे रंग का एक रत्न,"यह पन्ना जड़ित अँगूठी है ।",Noun,Synset
hi:S:00006693,"hi:W:000066931,",,hi:S:00010468,,hi:S:00004352,hi:S:00001957, पुस्तक के पन्ने के एक ओर का तल या भाग,"इस पुस्तक का प्रत्येक पृष्ठ मैं पढ़ चुका हूँ ।",Noun,Synset
hi:S:00006694,"hi:W:000066940,",,,,,hi:S:00000020, एक प्रकार की छोटी करारी फुलकी,"दुकानदार ने टूटे हुए गोलगप्पों को मसलकर भेल में मिला दिया ।",Noun,Synset
