Code,Title,,Leave these 3 columns blank,,,Template,Template ID,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Grade,Difficulty Level,Keywords,Options 1 asset,Options 1 answer,Options 2 asset,Options 2 answer,Options 3 asset,Options 3 answer,Options 4 asset,Options 4 answer,,,,,,
ek.n.ib.en.ad.J.8,Adding 1 (10-99),77 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",78,Yes,87,No,72,No,37,No,9,6,41,15,50,35
ek.n.ib.en.ad.J.9,Adding 1 (10-99),60 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",61,Yes,70,No,63,No,24,No,9,2,37,7,46,39
ek.n.ib.en.ad.J.10,Adding 1 (10-99),81 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",82,Yes,91,No,15,No,93,No,9,67,11,76,2,78
ek.n.ib.en.ad.J.11,Adding 1 (10-99),78 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",79,Yes,88,No,97,No,99,No,9,18,20,9,11,2
ek.n.ib.en.ad.J.12,Adding 1 (10-99),96 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",97,Yes,106,No,61,No,53,No,9,36,44,45,53,8
ek.n.ib.en.ad.J.13,Adding 1 (10-99),85 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",86,Yes,95,No,37,No,29,No,9,49,57,58,66,8
ek.n.ib.en.ad.J.14,Adding 1 (10-99),57 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",58,Yes,67,No,38,No,76,No,9,20,18,29,9,38
ek.n.ib.en.ad.J.15,Adding 1 (10-99),49 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",50,Yes,59,No,36,No,37,No,9,14,13,23,22,1
ek.n.ib.en.ad.J.16,Adding 1 (10-99),50 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",51,Yes,60,No,75,No,44,No,9,24,7,15,16,31
ek.n.ib.en.ad.J.17,Adding 1 (10-99),61 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",62,Yes,71,No,15,No,85,No,9,47,23,56,14,70
ek.n.ib.en.ad.J.18,Adding 1 (10-99),38 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",39,Yes,48,No,93,No,63,No,9,54,24,45,15,30
ek.n.ib.en.ad.J.19,Adding 1 (10-99),72 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",73,Yes,82,No,48,No,95,No,9,25,22,34,13,47
ek.n.ib.en.ad.J.20,Adding 1 (10-99),43 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",44,Yes,53,No,92,No,82,No,9,48,38,39,29,10
ek.n.ib.en.ad.J.21,Adding 1 (10-99),31 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",32,Yes,41,No,43,No,79,No,9,11,47,2,38,36
ek.n.ib.en.ad.J.22,Adding 1 (10-99),94 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",95,Yes,104,No,52,No,49,No,9,43,46,52,55,3
ek.n.ib.en.ad.J.23,Adding 1 (10-99),69 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",70,Yes,79,No,83,No,15,No,9,13,55,4,64,68
ek.n.ib.en.ad.J.24,Adding 1 (10-99),45 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",46,Yes,55,No,49,No,83,No,9,3,37,6,28,34
ek.n.ib.en.ad.J.25,Adding 1 (10-99),71 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",72,Yes,81,No,30,No,56,No,9,42,16,51,25,26
ek.n.ib.en.ad.J.26,Adding 1 (10-99),16 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",17,Yes,26,No,34,No,21,No,9,17,4,8,5,13
ek.n.ib.en.ad.J.27,Adding 1 (10-99),70 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",71,Yes,80,No,18,No,75,No,9,53,4,62,5,57
ek.n.ib.en.ad.J.28,Adding 1 (10-99),74 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",75,Yes,84,No,53,No,60,No,9,22,15,31,24,7
ek.n.ib.en.ad.J.29,Adding 1 (10-99),17 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",18,Yes,27,No,89,No,22,No,9,71,4,62,5,67
ek.n.ib.en.ad.J.30,Adding 1 (10-99),41 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",42,Yes,51,No,50,No,60,No,9,8,18,1,9,10
ek.n.ib.en.ad.J.31,Adding 1 (10-99),65 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",66,Yes,75,No,81,No,47,No,9,15,19,6,28,34
ek.n.ib.en.ad.J.32,Adding 1 (10-99),86 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",87,Yes,96,No,99,No,81,No,9,12,6,3,15,18
ek.n.ib.en.ad.J.33,Adding 1 (10-99),44 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",45,Yes,54,No,96,No,31,No,9,51,14,42,23,65
ek.n.ib.en.ad.J.34,Adding 1 (10-99),12 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",13,Yes,22,No,11,No,77,No,9,2,64,11,55,66
ek.n.ib.en.ad.J.35,Adding 1 (10-99),68 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",69,Yes,78,No,75,No,22,No,9,6,47,3,56,53
ek.n.ib.en.ad.J.36,Adding 1 (10-99),40 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",41,Yes,50,No,29,No,13,No,9,12,28,21,37,16
ek.n.ib.en.ad.J.37,Adding 1 (10-99),63 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",64,Yes,73,No,79,No,80,No,9,15,16,6,7,1
ek.n.ib.en.ad.J.38,Adding 1 (10-99),14 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",15,Yes,24,No,81,No,34,No,9,66,19,57,10,47
ek.n.ib.en.ad.J.39,Adding 1 (10-99),25 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",26,Yes,35,No,93,No,27,No,9,67,1,58,8,66
ek.n.ib.en.ad.J.40,Adding 1 (10-99),42 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",43,Yes,52,No,26,No,14,No,9,17,29,26,38,12
ek.n.ib.en.ad.J.41,Adding 1 (10-99),27 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",28,Yes,37,No,20,No,41,No,9,8,13,17,4,21
ek.n.ib.en.ad.J.42,Adding 1 (10-99),33 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",34,Yes,43,No,56,No,68,No,9,22,34,13,25,12
ek.n.ib.en.ad.J.43,Adding 1 (10-99),66 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",67,Yes,76,No,94,No,29,No,9,27,38,18,47,65
ek.n.ib.en.ad.J.44,Adding 1 (10-99),34 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",35,Yes,44,No,30,No,65,No,9,5,30,14,21,35
ek.n.ib.en.ad.J.45,Adding 1 (10-99),28 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",29,Yes,38,No,43,No,33,No,9,14,4,5,5,10
ek.n.ib.en.ad.J.46,Adding 1 (10-99),11 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",12,Yes,21,No,92,No,80,No,9,80,68,71,59,12
ek.n.ib.en.ad.J.47,Adding 1 (10-99),64 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",65,Yes,74,No,51,No,87,No,9,14,22,23,13,36
ek.n.ib.en.ad.J.48,Adding 1 (10-99),98 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",99,Yes,108,No,39,No,57,No,9,60,42,69,51,18
ek.n.ib.en.ad.J.49,Adding 1 (10-99),52 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",53,Yes,62,No,81,No,94,No,9,28,41,19,32,13
ek.n.ib.en.ad.J.50,Adding 1 (10-99),47 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",48,Yes,57,No,67,No,36,No,9,19,12,10,21,31
ek.n.ib.en.ad.J.51,Adding 1 (10-99),19 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",20,Yes,29,No,79,No,14,No,9,59,6,50,15,65
ek.n.ib.en.ad.J.52,Adding 1 (10-99),92 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",93,Yes,102,No,62,No,77,No,9,31,16,40,25,15
ek.n.ib.en.ad.J.53,Adding 1 (10-99),20 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",21,Yes,30,No,87,No,62,No,9,66,41,57,32,25
ek.n.ib.en.ad.J.54,Adding 1 (10-99),23 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",24,Yes,33,No,23,No,47,No,9,1,23,10,14,24
ek.n.ib.en.ad.J.55,Adding 1 (10-99),58 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",59,Yes,68,No,50,No,48,No,9,9,11,18,20,2
ek.n.ib.en.ad.J.56,Adding 1 (10-99),10 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",11,Yes,20,No,61,No,30,No,9,50,19,41,10,31
ek.n.ib.en.ad.J.57,Adding 1 (10-99),80 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",81,Yes,90,No,11,No,30,No,9,70,51,79,60,19
ek.n.ib.en.ad.J.58,Adding 1 (10-99),90 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",91,Yes,100,No,44,No,94,No,9,47,3,56,6,50
ek.n.ib.en.ad.J.59,Adding 1 (10-99),73 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",74,Yes,83,No,77,No,48,No,9,3,26,6,35,29
ek.n.ib.en.ad.J.60,Adding 1 (10-99),93 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",94,Yes,103,No,75,No,38,No,9,19,56,28,65,37
ek.n.ib.en.ad.J.61,Adding 1 (10-99),24 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",25,Yes,34,No,56,No,42,No,9,31,17,22,8,14
ek.n.ib.en.ad.J.62,Adding 1 (10-99),59 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",60,Yes,69,No,71,No,56,No,9,11,4,2,13,15
ek.n.ib.en.ad.J.63,Adding 1 (10-99),55 + 1 = ?,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,EASY,"add, addition, sum",56,Yes,65,No,58,No,12,No,9,2,44,7,53,46
ek.n.ib.en.ad.J.64,Adding 1 (10-99),? = 47 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",48,Yes,57,No,33,No,92,No,9,15,44,24,35,59
ek.n.ib.en.ad.J.65,Adding 1 (10-99),? = 84 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",85,Yes,94,No,89,No,76,No,9,4,9,5,18,13
ek.n.ib.en.ad.J.66,Adding 1 (10-99),? = 98 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",99,Yes,108,No,50,No,68,No,9,49,31,58,40,18
ek.n.ib.en.ad.J.67,Adding 1 (10-99),? = 45 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",46,Yes,55,No,18,No,84,No,9,28,38,37,29,66
ek.n.ib.en.ad.J.68,Adding 1 (10-99),? = 51 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",52,Yes,61,No,42,No,72,No,9,10,20,19,11,30
ek.n.ib.en.ad.J.69,Adding 1 (10-99),? = 92 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",93,Yes,102,No,41,No,85,No,9,52,8,61,17,44
ek.n.ib.en.ad.J.70,Adding 1 (10-99),? = 75 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",76,Yes,85,No,48,No,62,No,9,28,14,37,23,14
ek.n.ib.en.ad.J.71,Adding 1 (10-99),? = 81 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",82,Yes,91,No,99,No,34,No,9,17,48,8,57,65
ek.n.ib.en.ad.J.72,Adding 1 (10-99),? = 33 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",34,Yes,43,No,56,No,76,No,9,22,42,13,33,20
ek.n.ib.en.ad.J.73,Adding 1 (10-99),? = 59 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",60,Yes,69,No,58,No,51,No,9,2,9,11,18,7
ek.n.ib.en.ad.J.74,Adding 1 (10-99),? = 96 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",97,Yes,106,No,53,No,60,No,9,44,37,53,46,7
ek.n.ib.en.ad.J.75,Adding 1 (10-99),? = 10 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",11,Yes,20,No,62,No,97,No,9,51,86,42,77,35
ek.n.ib.en.ad.J.76,Adding 1 (10-99),? = 28 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",29,Yes,38,No,48,No,64,No,9,19,35,10,26,16
ek.n.ib.en.ad.J.77,Adding 1 (10-99),? = 22 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",23,Yes,32,No,70,No,45,No,9,47,22,38,13,25
ek.n.ib.en.ad.J.78,Adding 1 (10-99),? = 20 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",21,Yes,30,No,39,No,95,No,9,18,74,9,65,56
ek.n.ib.en.ad.J.79,Adding 1 (10-99),? = 63 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",64,Yes,73,No,34,No,85,No,9,30,21,39,12,51
ek.n.ib.en.ad.J.80,Adding 1 (10-99),? = 93 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",94,Yes,103,No,90,No,28,No,9,4,66,13,75,62
ek.n.ib.en.ad.J.81,Adding 1 (10-99),? = 29 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",30,Yes,39,No,42,No,87,No,9,12,57,3,48,45
ek.n.ib.en.ad.J.82,Adding 1 (10-99),? = 56 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",57,Yes,66,No,92,No,87,No,9,35,30,26,21,5
ek.n.ib.en.ad.J.83,Adding 1 (10-99),? = 89 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",90,Yes,99,No,82,No,88,No,9,8,2,17,11,6
ek.n.ib.en.ad.J.84,Adding 1 (10-99),? = 83 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",84,Yes,93,No,19,No,71,No,9,65,13,74,22,52
ek.n.ib.en.ad.J.85,Adding 1 (10-99),? = 13 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",14,Yes,23,No,20,No,52,No,9,6,38,3,29,32
ek.n.ib.en.ad.J.86,Adding 1 (10-99),? = 36 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",37,Yes,46,No,57,No,76,No,9,20,39,11,30,19
ek.n.ib.en.ad.J.87,Adding 1 (10-99),? = 94 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",95,Yes,104,No,83,No,62,No,9,12,33,21,42,21
ek.n.ib.en.ad.J.88,Adding 1 (10-99),? = 52 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",53,Yes,62,No,91,No,32,No,9,38,21,29,30,59
ek.n.ib.en.ad.J.89,Adding 1 (10-99),? = 79 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",80,Yes,89,No,63,No,12,No,9,17,68,26,77,51
ek.n.ib.en.ad.J.90,Adding 1 (10-99),? = 85 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",86,Yes,95,No,25,No,17,No,9,61,69,70,78,8
ek.n.ib.en.ad.J.91,Adding 1 (10-99),? = 91 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",92,Yes,101,No,76,No,49,No,9,16,43,25,52,27
ek.n.ib.en.ad.J.92,Adding 1 (10-99),? = 49 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",50,Yes,59,No,16,No,78,No,9,34,28,43,19,62
ek.n.ib.en.ad.J.93,Adding 1 (10-99),? = 44 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",45,Yes,54,No,32,No,68,No,9,13,23,22,14,36
ek.n.ib.en.ad.J.94,Adding 1 (10-99),? = 41 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",42,Yes,51,No,64,No,53,No,9,22,11,13,2,11
ek.n.ib.en.ad.J.95,Adding 1 (10-99),? = 23 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",24,Yes,33,No,76,No,34,No,9,52,10,43,1,42
ek.n.ib.en.ad.J.96,Adding 1 (10-99),? = 97 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",98,Yes,107,No,56,No,74,No,9,42,24,51,33,18
ek.n.ib.en.ad.J.97,Adding 1 (10-99),? = 65 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",66,Yes,75,No,57,No,83,No,9,9,17,18,8,26
ek.n.ib.en.ad.J.98,Adding 1 (10-99),? = 48 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",49,Yes,58,No,16,No,35,No,9,33,14,42,23,19
ek.n.ib.en.ad.J.99,Adding 1 (10-99),? = 34 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",35,Yes,44,No,33,No,65,No,9,2,30,11,21,32
ek.n.ib.en.ad.J.100,Adding 1 (10-99),? = 21 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",22,Yes,31,No,30,No,34,No,9,8,12,1,3,4
ek.n.ib.en.ad.J.101,Adding 1 (10-99),? = 61 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",62,Yes,71,No,83,No,14,No,9,21,48,12,57,69
ek.n.ib.en.ad.J.102,Adding 1 (10-99),? = 11 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",12,Yes,21,No,35,No,39,No,9,23,27,14,18,4
ek.n.ib.en.ad.J.103,Adding 1 (10-99),? = 88 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",89,Yes,98,No,67,No,13,No,9,22,76,31,85,54
ek.n.ib.en.ad.J.104,Adding 1 (10-99),? = 60 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",61,Yes,70,No,87,No,72,No,9,26,11,17,2,15
ek.n.ib.en.ad.J.105,Adding 1 (10-99),? = 27 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",28,Yes,37,No,39,No,79,No,9,11,51,2,42,40
ek.n.ib.en.ad.J.106,Adding 1 (10-99),? = 80 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",81,Yes,90,No,28,No,21,No,9,53,60,62,69,7
ek.n.ib.en.ad.J.107,Adding 1 (10-99),? = 87 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",88,Yes,97,No,62,No,17,No,9,26,71,35,80,45
ek.n.ib.en.ad.J.108,Adding 1 (10-99),? = 58 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",59,Yes,68,No,43,No,53,No,9,16,6,25,15,10
ek.n.ib.en.ad.J.109,Adding 1 (10-99),? = 26 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",27,Yes,36,No,88,No,55,No,9,61,28,52,19,33
ek.n.ib.en.ad.J.110,Adding 1 (10-99),? = 74 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",75,Yes,84,No,98,No,87,No,9,23,12,14,3,11
ek.n.ib.en.ad.J.111,Adding 1 (10-99),? = 86 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",87,Yes,96,No,18,No,21,No,9,69,66,78,75,3
ek.n.ib.en.ad.J.112,Adding 1 (10-99),? = 72 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",73,Yes,82,No,17,No,79,No,9,56,6,65,3,62
ek.n.ib.en.ad.J.113,Adding 1 (10-99),? = 14 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",15,Yes,24,No,79,No,19,No,9,64,4,55,5,60
ek.n.ib.en.ad.J.114,Adding 1 (10-99),? = 67 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",68,Yes,77,No,27,No,20,No,9,41,48,50,57,7
ek.n.ib.en.ad.J.115,Adding 1 (10-99),? = 25 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",26,Yes,35,No,13,No,65,No,9,13,39,22,30,52
ek.n.ib.en.ad.J.116,Adding 1 (10-99),? = 19 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",20,Yes,29,No,49,No,37,No,9,29,17,20,8,12
ek.n.ib.en.ad.J.117,Adding 1 (10-99),? = 78 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",79,Yes,88,No,63,No,47,No,9,16,32,25,41,16
ek.n.ib.en.ad.J.118,Adding 1 (10-99),? = 62 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",63,Yes,72,No,14,No,39,No,9,49,24,58,33,25
ek.n.ib.en.ad.J.119,Adding 1 (10-99),? = 71 + 1,,,,org.ekstep.mcq.ta,domain_3491,1,1,No,Please try again!,Grade 1,MEDIUM,"add, addition, sum",72,Yes,81,No,40,No,21,No,9,32,51,41,60,19
