Code,Title,,Leave these 3 columns blank,,,Template,Template ID,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Grade,Difficulty Level,Keywords,Options 1 asset,Options 1 answer,Options 2 asset,Options 2 answer,Options 3 asset,Options 3 answer,Options 4 asset,Options 4 answer
ek.n.ib.m.t.13.6,Pick the correct answer,13 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",19,No,91,No,65,No,78,Yes
ek.n.ib.m.t.13.5,Pick the correct answer,13 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",65,Yes,18,No,78,No,52,No
ek.n.ib.m.t.13.1,Pick the correct answer,13 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,13,Yes,14,No,26,No
ek.n.ib.m.t.14.4,Pick the correct answer,14 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",56,Yes,18,No,70,No,42,No
ek.n.ib.m.t.14.5,Pick the correct answer,14 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",56,No,70,Yes,19,No,84,No
ek.n.ib.m.t.14.2,Pick the correct answer,14 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",42,No,14,No,28,Yes,16,No
ek.n.ib.m.t.14.7,Pick the correct answer,14 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",21,No,112,No,84,No,98,Yes
ek.n.ib.m.t.14.9,Pick the correct answer,14 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",126,Yes,23,No,140,No,112,No
ek.n.ib.m.t.14.8,Pick the correct answer,14 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",98,No,112,Yes,22,No,126,No
ek.n.ib.m.t.14.1,Pick the correct answer,14 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,No,1,No,14,Yes,15,No
ek.n.ib.m.t.14.6,Pick the correct answer,14 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",20,No,98,No,70,No,84,Yes
ek.n.ib.m.t.14.3,Pick the correct answer,14 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",42,Yes,17,No,56,No,28,No
ek.n.ib.m.t.14.10,Pick the correct answer,14 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",126,No,140,Yes,24,No,154,No
ek.n.ib.m.t.15.5,Pick the correct answer,15 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",75,Yes,20,No,90,No,60,No
ek.n.ib.m.t.15.6,Pick the correct answer,15 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",75,No,90,Yes,21,No,105,No
ek.n.ib.m.t.15.4,Pick the correct answer,15 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",75,No,45,No,60,Yes,19,No
ek.n.ib.m.t.15.7,Pick the correct answer,15 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",22,No,120,No,90,No,105,Yes
ek.n.ib.m.t.15.8,Pick the correct answer,15 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",120,Yes,23,No,135,No,105,No
ek.n.ib.m.t.15.1,Pick the correct answer,15 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,15,Yes,16,No,30,No
ek.n.ib.m.t.15.3,Pick the correct answer,15 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",60,No,30,No,45,Yes,18,No
ek.n.ib.m.t.15.2,Pick the correct answer,15 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",17,No,45,No,15,No,30,Yes
ek.n.ib.m.t.15.10,Pick the correct answer,15 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",150,Yes,25,No,165,No,135,No
ek.n.ib.m.t.15.9,Pick the correct answer,15 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",120,No,135,Yes,24,No,150,No
ek.n.ib.m.t.16.10,Pick the correct answer,16 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",160,Yes,26,No,176,No,144,No
ek.n.ib.m.t.16.5,Pick the correct answer,16 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",64,No,80,Yes,21,No,96,No
ek.n.ib.m.t.16.1,Pick the correct answer,16 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",32,No,1,No,16,Yes,17,No
ek.n.ib.m.t.16.7,Pick the correct answer,16 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",23,No,128,No,96,No,112,Yes
ek.n.ib.m.t.16.2,Pick the correct answer,16 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",32,Yes,18,No,48,No,16,No
ek.n.ib.m.t.16.4,Pick the correct answer,16 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,No,64,Yes,20,No,80,No
ek.n.ib.m.t.16.8,Pick the correct answer,16 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",144,No,112,No,128,Yes,24,No
ek.n.ib.m.t.16.3,Pick the correct answer,16 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",19,No,64,No,32,No,48,Yes
ek.n.ib.m.t.16.6,Pick the correct answer,16 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",96,Yes,22,No,112,No,80,No
ek.n.ib.m.t.16.9,Pick the correct answer,16 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",128,No,144,Yes,25,No,160,No
ek.n.ib.m.t.17.2,Pick the correct answer,17 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",34,Yes,19,No,51,No,17,No
ek.n.ib.m.t.17.4,Pick the correct answer,17 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",51,No,68,Yes,21,No,85,No
ek.n.ib.m.t.17.6,Pick the correct answer,17 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",119,No,85,No,102,Yes,23,No
ek.n.ib.m.t.17.8,Pick the correct answer,17 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",25,No,153,No,119,No,136,Yes
ek.n.ib.m.t.17.10,Pick the correct answer,17 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",170,Yes,27,No,187,No,153,No
ek.n.ib.m.t.17.1,Pick the correct answer,17 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,17,Yes,18,No,34,No
ek.n.ib.m.t.17.5,Pick the correct answer,17 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",102,No,68,No,85,Yes,22,No
ek.n.ib.m.t.17.3,Pick the correct answer,17 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",20,No,68,No,34,No,51,Yes
ek.n.ib.m.t.17.7,Pick the correct answer,17 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",119,Yes,24,No,136,No,102,No
ek.n.ib.m.t.17.9,Pick the correct answer,17 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",136,No,153,Yes,26,No,170,No
ek.n.ib.m.t.18.7,Pick the correct answer,18 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",126,Yes,25,No,144,No,108,No
ek.n.ib.m.t.18.2,Pick the correct answer,18 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,36,Yes,20,No,54,No
ek.n.ib.m.t.18.5,Pick the correct answer,18 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",108,No,72,No,90,Yes,23,No
ek.n.ib.m.t.18.1,Pick the correct answer,18 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",19,No,36,No,1,No,18,Yes
ek.n.ib.m.t.18.8,Pick the correct answer,18 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",144,Yes,26,No,162,No,126,No
ek.n.ib.m.t.18.9,Pick the correct answer,18 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",144,No,162,Yes,27,No,180,No
ek.n.ib.m.t.18.10,Pick the correct answer,18 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",198,No,162,No,180,Yes,28,No
ek.n.ib.m.t.18.3,Pick the correct answer,18 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",21,No,72,No,36,No,54,Yes
ek.n.ib.m.t.18.4,Pick the correct answer,18 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,Yes,22,No,90,No,54,No
ek.n.ib.m.t.18.6,Pick the correct answer,18 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",90,No,108,Yes,24,No,126,No
ek.n.ib.m.t.19.1,Pick the correct answer,19 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",19,Yes,20,No,38,No,1,No
ek.n.ib.m.t.19.4,Pick the correct answer,19 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",57,No,76,Yes,23,No,95,No
ek.n.ib.m.t.19.7,Pick the correct answer,19 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",152,No,114,No,133,Yes,26,No
ek.n.ib.m.t.19.10,Pick the correct answer,19 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",29,No,209,No,171,No,190,Yes
ek.n.ib.m.t.19.2,Pick the correct answer,19 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",38,Yes,21,No,57,No,19,No
ek.n.ib.m.t.19.5,Pick the correct answer,19 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",76,No,95,Yes,24,No,114,No
ek.n.ib.m.t.19.8,Pick the correct answer,19 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",171,No,133,No,152,Yes,27,No
ek.n.ib.m.t.19.3,Pick the correct answer,19 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",22,No,76,No,38,No,57,Yes
ek.n.ib.m.t.19.6,Pick the correct answer,19 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",114,Yes,25,No,133,No,95,No
ek.n.ib.m.t.19.9,Pick the correct answer,19 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",152,No,171,Yes,28,No,190,No
ek.n.ib.m.t.20.10,Pick the correct answer,20 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",200,Yes,30,No,220,No,180,No
ek.n.ib.m.t.20.4,Pick the correct answer,20 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",60,No,80,Yes,24,No,100,No
ek.n.ib.m.t.20.6,Pick the correct answer,20 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",140,No,100,No,120,Yes,26,No
ek.n.ib.m.t.20.3,Pick the correct answer,20 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",23,No,80,No,40,No,60,Yes
ek.n.ib.m.t.20.2,Pick the correct answer,20 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",40,Yes,22,No,60,No,20,No
ek.n.ib.m.t.20.9,Pick the correct answer,20 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,180,Yes,29,No,200,No
ek.n.ib.m.t.20.7,Pick the correct answer,20 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",160,No,120,No,140,Yes,27,No
ek.n.ib.m.t.20.8,Pick the correct answer,20 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,No,180,No,140,No,160,Yes
ek.n.ib.m.t.20.5,Pick the correct answer,20 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",100,Yes,25,No,120,No,80,No
ek.n.ib.m.t.20.1,Pick the correct answer,20 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,20,Yes,21,No,40,No
