identifier,objectType,tags,template,copyright,code,downloadUrl,description,language,variants,mimeType,source,posterImage,idealScreenSize,createdOn,appIcon,gradeLevel,artifactUrl,lastUpdatedOn,SYS_INTERNAL_LAST_UPDATED_ON,contentType,owner,lastUpdatedBy,visibility,os,portalOwner,mediaType,osId,ageGroup,lastPublishedBy,pkgVersion,versionKey,prevState,idealScreenDensity,s3Key,lastPublishedOn,size,lastSubmittedOn,createdBy,compatibilityLevel,domain,semanticVersion,name,publisher,status,rel:associatedTo,subject,medium,Language,collaborators,audience,creator,attributions,testCSVImportField,category,origin,languageCode,genre,theme,templateType,templateName,method,createdFor,organization,lastFlaggedOn,flaggedBy,keywords,keywordss,purpose,screenshots
fff.gfb.gfdgf.bnn,Content,ff::hh,,,fff.gfb.gfdgf.bnn,,aaa222,Gujarati,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-04T13:24:04.917+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_1122145960715878401156/artifact/3582d1bf4484b622adf90e64ba155fb1_1491039559852.jpeg,Grade 1::Grade 2::Grade 3,,2017-04-05T11:35:52.074+0000,2017-06-02T14:12:06.017+0000,Plugin,aaa222,387,Default,All,387,content,org.ekstep.quiz.app,5-6::6-7,,,1496412726017,,hdpi,,,,,387,1.0,numeracy::literacy,,aaa222,,Draft,"C25,C23,C21,C24,do_1121892422068142081114,LO7,a,LO6,LO29,A,meth_3,meth_7",Punjabi,Gujarati,,,,,,,,,,,,worksheet,test,,,,,,,,,
org.kel.meeratest1,Content,test1::test2,,,org.kel.meeratest1,,5 april test,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-05T05:01:22.952+0000,,Grade 1::Grade 2,,2017-04-05T05:01:22.952+0000,2017-06-02T14:12:06.266+0000,Plugin,meera bugad,440,Default,All,440,content,org.ekstep.quiz.app,7-8,,,1496412726266,,hdpi,,,,,440,1.0,numeracy,,5 april test,,Draft,"meth_3,C24,meth_7,C21,C23,C25,C22",Marathi,Nepali,,,,,,,,,,,,,,,,,,,,,,
org.meera.test1,Content,test1::test2,,,org.meera.test1,,test for method,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-05T05:13:30.284+0000,,Grade 1,,2017-04-05T05:13:30.284+0000,2017-06-02T14:12:06.541+0000,Plugin,meera,440,Default,All,440,content,org.ekstep.quiz.app,5-6::6-7,,,1496412726541,,hdpi,,,,,440,1.0,numeracy,,test on dev,,Draft,"meth_7,C21,meth_3,C25,C23,C24",Punjabi,Tamil,,,,,,,,,,,,,,,,,,,,,,
do_11221749970881740813,Content,kk::aa::cc,,,org.ekstep.numeracy.game.3210,,test for archive vv,Gujarati,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-05T12:06:47.424+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_11221749947428864011/artifact/e8010a25bf7a7bf1336ce900c86335fe_1491393978916.jpeg,Grade 1::Grade 2,,2017-04-05T13:11:48.914+0000,2017-06-02T14:12:06.788+0000,Plugin,nbnvn,387,Default,All,387,content,org.ekstep.quiz.app,5-6::6-7,,,1496412726789,,hdpi,,,,,387,1.0,numeracy,,test for archive,,Draft,"C24,C25,C21,C22,C23",Bengali,Kannada,,,,,,,,,,,,,,,,,,,,,,
asd.hjk.lui,Content,wer::yui,,,asd.hjk.lui,,6 april 6 aprilddddvc,Gujarati,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-06T06:45:29.600+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_11221799732291993614/artifact/e253a14e5f35517d7e5aa4d822e67e9b_1491454751464.jpeg,Grade 2,,2017-04-06T08:04:29.042+0000,2017-06-02T14:12:07.278+0000,Plugin,jkl,440,Default,All,440,content,org.ekstep.quiz.app,5-6::6-7,,,1496412727278,,hdpi,,,,,440,1.0,numeracy,,6 aprildd,,Draft,"C21,C24,C25,meth_3,meth_7",Telugu,Telugu,,,,,,,,,,,,,,,,,,,,,,
ds.yg.hgju,Content,,,,ds.yg.hgju,,sdsd,Marathi,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-06T07:17:15.443+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_11221799732291993614/artifact/e253a14e5f35517d7e5aa4d822e67e9b_1491454751464.jpeg,Kindergarten::Grade 1,,2017-04-17T12:30:15.896+0000,2017-06-02T14:12:07.525+0000,Plugin,sdsds,387,Default,All,387,content,org.ekstep.quiz.app,5-6,,,1496412727526,,hdpi,,,,,387,1.0,numeracy,,wsdsd,,Draft,"C25,C21",,,,,,,,,,,,,,,,,,,,,,,,
do_112218091019272192193,Content,asd::bnm::op,,,org.ekstep.science.collection.3993,,subject-medium-methods,Gujarati,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-06T08:09:48.876+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_1122074504161198081215/artifact/9cf403d5759c5fe39a397c9f29418b67_1490167287225.jpeg,Grade 2::Grade 3,,2017-04-06T08:23:41.239+0000,2017-06-02T14:12:07.776+0000,Plugin,mmm,440,Default,All,440,content,org.ekstep.quiz.app,5-6::6-7,,,1496412727776,,hdpi,,,,,440,1.0,numeracy,,subject-medium-methods,,Draft,"C21,C25,C24,C23,meth_3,meth_7",Malayalam,Tamil,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.plugin.test.1,Content,,,,org.ekstep.plugin.test.1,,Plugin - Methods test,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-06T11:02:45.951+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_11221315753985638413/artifact/b520c0868409764287195d8e6c015c20_1490863957930.jpeg,Grade 1,,2017-04-06T11:03:18.976+0000,2017-06-02T14:12:08.017+0000,Plugin,Manoj,177,Default,All,177,content,org.ekstep.quiz.app,&lt;5::5-6,,,1496412728017,,hdpi,,,,,177,1.0,numeracy,,Plugin - Methods test,,Draft,"C21,meth_3,meth_7",English,English,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.carmath,Content,,,,org.ekstep.carmath,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.carmath/math-highway_1491481427383_org.ekstep.carmath_1.0.ecar,Fun math worksheet,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.carmath/math-highway_1491481427589_org.ekstep.carmath_1.0_spine.ecar"",""size"":826.0}}",application/vnd.ekstep.plugin-archive,,,normal,2017-04-06T12:23:02.634+0000,,Kindergarten,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.carmath/artifact/mathhighway-master_333_1491481281_1491481382709.zip,2017-04-06T12:23:14.974+0000,2017-06-02T14:12:08.265+0000,Plugin,UntitledOne,200,Default,All,333,content,org.ekstep.quiz.app,&lt;5,200,1.0,1496412728265,Review,hdpi,ecar_files/org.ekstep.carmath/math-highway_1491481427383_org.ekstep.carmath_1.0.ecar,2017-04-06T12:23:47.383+0000,256112.0,,333,1,numeracy,1.0,Math Highway,,Live,C6,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.funtoot.orderingNumbers.fork,Content,,,,org.ekstep.funtoot.orderingNumbers.fork,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.funtoot.orderingNumbers/org.ekstep.funtoot.orderingnumbers_1491555590645_org.ekstep.funtoot.orderingnumbers_5.0.ecar,org.ekstep.funtoot.orderingNumbers plugin,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-10T04:48:20.645+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.orderingnumbers/artifact/1c457eae061850b463a0554eccd56e5b_1488521527873.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.orderingnumbers/artifact/org.ekstep.funtoot.orderingnumbers-1.0_449_1491555363_1491555465266.zip,2017-04-10T04:48:20.645+0000,2017-06-02T14:12:08.514+0000,Plugin,funtoot,501,Default,All,501,content,org.ekstep.quiz.app,5-6,,,1496412728514,,hdpi,,,,,501,1.0,numeracy,,Copied From org.ekstep.funtoot.orderingNumbers,,Draft,C56,,,,,,,,,,org.ekstep.funtoot.orderingNumbers,en,,,,,,,,,,,,,
org.ekstep.funtoot.common.fork,Content,,,,org.ekstep.funtoot.common.fork,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.funtoot.common/funtoot-common-plugins_1491554996287_org.ekstep.funtoot.common_8.0.ecar,Common funtoot plugins,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-11T06:24:27.633+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.common/artifact/1c457eae061850b463a0554eccd56e5b_1488521527873.thumb.jpeg,Grade 1::Grade 2::Grade 3::Grade 4::Grade 5,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.common/artifact/org.ekstep.funtoot.common-1.0_449_1491554187_1491554289394.zip,2017-04-11T06:37:41.671+0000,2017-06-02T14:12:08.764+0000,Plugin,NPK,389,Default,All,389,content,org.ekstep.quiz.app,5-6::6-7::7-8::8-10,,,1496412728764,,hdpi,,,,,389,1.0,numeracy,,Copied From funtoot Common plugins,,Draft,"C6,C8,C7",,,,,,,,,,org.ekstep.funtoot.common,en,,Nature,,,,,,,,,,,
org.ekstep.funtoot.numerals.counting.fork,Content,,,,org.ekstep.funtoot.numerals.counting.fork,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.funtoot.numerals.counting/funtoot-numerals-counting-plugin_1491554833188_org.ekstep.funtoot.numerals.counting_11.0.ecar,funtoot Numerals Counting  Plugin for Cardinal and Ordinal numbers worksheets,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-11T06:29:45.344+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.numerals.counting/artifact/91336ed98875d6591b97688b7e89a3b2_1488523394474.thumb.jpeg,Grade 1::Grade 2::Grade 3::Grade 4::Grade 5,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.numerals.counting/artifact/org.ekstep.funtoot.numerals.counting-1.0_449_1491554159_1491554261858.zip,2017-04-11T06:37:03.075+0000,2017-06-02T14:12:09.009+0000,Plugin,NPK1,389,Default,All,389,content,org.ekstep.quiz.app,5-6::6-7::7-8::8-10,,,1496412729009,,hdpi,,,,,389,1.0,numeracy,,Copied From funtoot Numerals Counting Plugin,,Retired,C6,,,,,,,,,learning::math,org.ekstep.funtoot.numerals.counting,en,,,,,,,,,,,,,
org.ekstep.funtoot.formNumbers,Content,,,,org.ekstep.funtoot.formNumbers,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.funtoot.formNumbers/form-numbers_1494507641160_org.ekstep.funtoot.formnumbers_4.0.ecar,"Form largest, smallest, odd, even numbers using given digits",English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.funtoot.formNumbers/form-numbers_1494507642150_org.ekstep.funtoot.formnumbers_4.0_spine.ecar"",""size"":50970.0}}",application/vnd.ekstep.plugin-archive,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_112196269385424896175/artifact/1841bc1358da4a417c33ca7fc3d1427c_1488802415251.jpeg,normal,2017-05-11T10:07:52.836+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.formnumbers/artifact/1841bc1358da4a417c33ca7fc3d1427c_1488802415251.thumb.jpeg,Grade 1::Grade 2::Grade 3::Grade 4::Grade 5,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.formnumbers/artifact/org.ekstep.funtoot.formnumbers-1.0_457_1494226985_1494227021195.zip,2017-05-11T10:11:35.767+0000,2017-06-02T14:12:10.346+0000,Plugin,funtoot,464,Default,All,449,content,org.ekstep.quiz.app,5-6::6-7,464,4.0,1496412730347,Review,hdpi,ecar_files/org.ekstep.funtoot.formNumbers/form-numbers_1494507641160_org.ekstep.funtoot.formnumbers_4.0.ecar,2017-05-11T13:00:41.159+0000,66266.0,,449,1,numeracy,1.0,Form Numbers,,Live,C7,English,English,,457::459::452,,Ram Jayaraman,,,,,,,,,,,,,,,,,,
org.ekstep.progressbar.debug,Content,,,,org.ekstep.progressbar.debug,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.progressbar.debug/progress-bar-debugger_1492517298464_org.ekstep.progressbar.debug_1.0.ecar,debug build,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.progressbar.debug/progress-bar-debugger_1492517298573_org.ekstep.progressbar.debug_1.0_spine.ecar"",""size"":830.0}}",application/vnd.ekstep.plugin-archive,,,normal,2017-04-18T12:07:58.028+0000,,Kindergarten,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.progressbar.debug/artifact/archive_200_1492517261_1492517278172.zip,2017-04-18T12:08:10.427+0000,2017-06-02T14:12:10.587+0000,Plugin,Srivathsa,436,Default,All,200,content,org.ekstep.quiz.app,&lt;5,436,1.0,1496412730588,Review,hdpi,ecar_files/org.ekstep.progressbar.debug/progress-bar-debugger_1492517298464_org.ekstep.progressbar.debug_1.0.ecar,2017-04-18T12:08:18.463+0000,15307.0,,200,1,literacy,1.0,Progress bar debugger,,Live,LO17,English,English,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.akshara-teaching,Content,,,,org.ekstep.akshara-teaching,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.akshara-teaching/akshara-teaching_1492602296120_org.ekstep.akshara-teaching_1.0.ecar,Akshara teaching,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.akshara-teaching/akshara-teaching_1492602296241_org.ekstep.akshara-teaching_1.0_spine.ecar"",""size"":821.0}}",application/vnd.ekstep.plugin-archive,,,normal,2017-04-19T11:43:33.075+0000,,Kindergarten,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.akshara-teaching/artifact/archive_200_1492602197_1492602213152.zip,2017-04-19T11:43:56.159+0000,2017-06-02T14:12:10.835+0000,Plugin,Devendra Singh,333,Default,All,200,content,org.ekstep.quiz.app,&lt;5,333,1.0,1496412730835,Review,hdpi,ecar_files/org.ekstep.akshara-teaching/akshara-teaching_1492602296120_org.ekstep.akshara-teaching_1.0.ecar,2017-04-19T11:44:56.120+0000,31283.0,,200,1,literacy,1.0,Akshara Teaching,,Live,LO39,English,English,,,,,,,,,,,,,,,,,,,,,,
do_11222795762397184011,Content,,,,test,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/do_11222795762397184011/test_1492670654860_do_11222795762397184011_2.0.ecar,,Hindi,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/do_11222795762397184011/test_1492670656112_do_11222795762397184011_2.0_spine.ecar"",""size"":34045.0}}",application/vnd.ekstep.ecml-archive,,https://www.youtube.com/yts/img/yt_1200-vfl4C3T0K.png,normal,2017-04-20T06:43:28.395+0000,http://media.idownloadblog.com/wp-content/uploads/2014/08/YouTube-2.9-for-iOS-app-icon-small.png,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_11222795762397184011/artifact/custom_plugin_1492670623739.zip,2017-04-20T06:44:04.891+0000,2017-06-02T14:12:11.075+0000,Plugin,,Ekstep,Default,All,,content,org.ekstep.quiz.app,,Ekstep,2.0,1496412731075,Draft,hdpi,ecar_files/do_11222795762397184011/test_1492670654860_do_11222795762397184011_2.0.ecar,2017-04-20T06:44:14.851+0000,7384516.0,,,1,,,test,,Live,,,,,,,,,,,,,,,,,,,,,,,,,
Test_QA_Plugin1,Content,QA_Content,,,Test_QA_Plugin1,,,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-20T11:12:43.638+0000,,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/test_qa_plugin1/artifact/archive_1492686819195.zip,2017-04-20T11:13:39.747+0000,2017-06-02T14:12:11.326+0000,Plugin,,,Default,All,,content,org.ekstep.quiz.app,,,,1496412731326,,hdpi,content/test_qa_plugin1/artifact/archive_1492686819195.zip,,,,,1.0,,1.0,Test_QA_7,,Draft,,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.valiate.example.1,Content,,,,org.ekstep.valiate.example.1,,,English,,application/vnd.ekstep.plugin-archive,a,,normal,2017-04-20T17:29:06.215+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_112227321355345920119/artifact/3fc6469a08c83a7ac1cbe6c0f60ab13d_1492592939129.jpeg,,,2017-04-20T17:32:16.091+0000,2017-06-02T14:12:11.664+0000,Plugin,,177,Default,All,177,content,org.ekstep.quiz.app,,,,1496412731664,,hdpi,,,,,177,1.0,literacy,,Plugin - validations test,,Draft,LO17,,,,,,,,,core,,,,,,,,,,,,,,,
org.abc.meeratest,Content,abc,,,org.abc.meeratest,,test for code,Gujarati,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-21T06:10:02.732+0000,,Grade 1::Grade 2,,2017-04-21T06:10:02.732+0000,2017-06-02T14:12:11.909+0000,Plugin,code,387,Default,All,387,content,org.ekstep.quiz.app,5-6::6-7,,,1496412731909,,hdpi,,,,,387,1.0,numeracy,,test for code,,Draft,"C21,meth_3,meth_7,C25",Assamese,Assamese,,,,,,,,,,,,,,,,,,,,,,
do_112228649570918400146,Content,mmm::bbb,,,org.ekstep.numeracy.collection.3274,,test for code,Gujarati,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-21T06:11:14.575+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_1122217006213693441197/artifact/1e2400e892625ab064dccba4d997f960_1491906814494.jpeg,Grade 1::Grade 2,,2017-04-21T06:12:12.532+0000,2017-06-02T14:12:12.174+0000,Plugin,code,387,Default,All,387,content,org.ekstep.quiz.app,5-6::6-7,,,1496412732174,,hdpi,,,,,387,1.0,numeracy,,test for code,,Draft,"C23,C24,C25,C21",Assamese,Assamese,,,,,,,,,,,,,,,,,,,,,,
org.abc.pqr,Content,mmm::bbb,,,org.abc.pqr,,code,Gujarati,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-21T06:15:00.522+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_1122222862772797441225/artifact/56d8444bd85ae80e7fbb7c2354691107_1491978306286.jpeg,Grade 1::Grade 2,,2017-04-21T06:17:30.947+0000,2017-06-02T14:12:12.426+0000,Plugin,code,387,Default,All,387,content,org.ekstep.quiz.app,5-6,,,1496412732426,,hdpi,,,,,387,1.0,numeracy,,code,,Draft,"C21,meth_7,C25,C23,C24,meth_3",Gujarati,Bengali,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.in,Content,aaa::nnn,,,org.ekstep.in,,data,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-21T06:20:19.826+0000,,Grade 1::Grade 2,,2017-04-21T06:20:19.826+0000,2017-06-02T14:12:12.668+0000,Plugin,aaa,387,Default,All,387,content,org.ekstep.quiz.app,5-6::6-7,,,1496412732668,,hdpi,,,,,387,1.0,numeracy,,data,,Draft,"meth_7,C21,C25,meth_3,C24",Urdu,Punjabi,,,,,,,,,,,,,,,,,,,,,,
col.ekstep,Content,ssss,,,col.ekstep,,collection test,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-21T06:27:58.388+0000,,Grade 1,,2017-04-21T06:27:58.388+0000,2017-06-02T14:12:12.933+0000,Plugin,sam,340,Default,All,340,content,org.ekstep.quiz.app,&lt;5,,,1496412732933,,hdpi,,,,,340,1.0,numeracy,,collection test,,Draft,"meth_3,C21,C25",,English,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.meera,Content,mmm::bbb,,,org.ekstep.meera,,code,Kannada,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-21T06:43:50.558+0000,,Grade 1::Grade 2,,2017-04-21T06:43:50.558+0000,2017-06-02T14:12:13.175+0000,Plugin,mmmm,440,Default,All,440,content,org.ekstep.quiz.app,&lt;5::5-6,,,1496412733175,,hdpi,,,,,440,1.0,numeracy,,code,,Draft,"meth_7,meth_3,C24,C25,C21",Bengali,Hindi,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.funtoot.placefacevalue,Content,,,,org.ekstep.funtoot.placefacevalue,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.funtoot.placefacevalue/place-value-face-value_1494507625071_org.ekstep.funtoot.placefacevalue_4.0.ecar,Place value and face value of digits in a number,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.funtoot.placefacevalue/place-value-face-value_1494507625252_org.ekstep.funtoot.placefacevalue_4.0_spine.ecar"",""size"":53179.0}}",application/vnd.ekstep.plugin-archive,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_1122287478308290561110/artifact/b6c54c9bfbd5a47dccc7e4c972599607_1492767069219.jpeg,normal,2017-05-11T10:15:00.137+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.placefacevalue/artifact/b6c54c9bfbd5a47dccc7e4c972599607_1492767069219.thumb.jpeg,Grade 1::Grade 2::Grade 3::Grade 4::Grade 5,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.funtoot.placefacevalue/artifact/org.ekstep.funtoot.placefacevalue-1.0_457_1494226943_1494226978972.zip,2017-05-11T10:15:10.177+0000,2017-06-02T14:12:13.424+0000,Plugin,Henrietta,464,Default,All,457,content,org.ekstep.quiz.app,5-6::6-7::7-8::8-10,464,4.0,1496412733424,Review,hdpi,ecar_files/org.ekstep.funtoot.placefacevalue/place-value-face-value_1494507625071_org.ekstep.funtoot.placefacevalue_4.0.ecar,2017-05-11T13:00:25.070+0000,69358.0,,457,1,numeracy,1.0,"Place Value, Face Value",,Live,C68,,,,449::452::459,,Henrietta,,,,,,,,,,,,,,,,,,
org.ekstep.validations.test.2,Content,,,,org.ekstep.validations.test.2,,,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-21T09:32:35.092+0000,,,,2017-04-21T09:34:16.116+0000,2017-06-02T14:12:13.670+0000,Plugin,,177,Default,All,177,content,org.ekstep.quiz.app,,,,1496412733670,,hdpi,,,,,177,1.0,literacy,,Lesson,,Draft,"LO16,LO14,LO12,LO17",,,,,,,,,,,,,,,,,,,,,,,,
do_11223079305627238415,Content,aaa::bbb,,,org.ekstep.numeracy.collection.4241,,test on Dev,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-24T06:52:10.502+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_112227321355345920119/artifact/3fc6469a08c83a7ac1cbe6c0f60ab13d_1492592939129.jpeg,Grade 1::Grade 2::Grade 3,,2017-04-24T11:21:50.675+0000,2017-06-02T14:12:14.175+0000,Plugin,meera,440,Default,All,440,content,org.ekstep.quiz.app,5-6::6-7,,,1496412734175,,hdpi,,,,,440,1.0,numeracy,,test on Dev,,Draft,"C23,C24,C25,C21,meth_3,meth_7",Assamese,Assamese,,506,,,,,,,,,,,,,,,,,,,,
org.ekstep.test1,Content,aaa::vvv::bbb,,,org.ekstep.test1,,test on local,Bengali,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-24T07:03:13.042+0000,,Kindergarten::Grade 1,,2017-04-24T07:03:13.042+0000,2017-06-02T14:12:14.422+0000,Plugin,meera,387,Default,All,387,content,org.ekstep.quiz.app,5-6::6-7,,,1496412734423,,hdpi,,,,,387,1.0,numeracy,,test on local,,Draft,"C23,C25,C24",Malayalam,Malayalam,,,,,,,,,,,,,,,,,,,,,,
org.qbc.test,Content,aaa::vvv::bbb,,,org.qbc.test,,test on local,Bengali,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-24T07:34:55.121+0000,,Kindergarten::Grade 1,,2017-04-24T11:17:20.171+0000,2017-06-02T14:12:14.678+0000,Plugin,meera,387,Default,All,387,content,org.ekstep.quiz.app,5-6::6-7,,,1496412734679,,hdpi,,,,,387,1.0,numeracy,,test on local,,Draft,"C24,C23,C25,do_1121892422068142081114,C22,C21",Malayalam,Malayalam,,,,,,,,,,,,,,,,,,,,,,
test1,Content,,,,test1,,,Hindi,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-24T09:18:23.606+0000,,,,2017-04-24T09:18:23.606+0000,2017-06-02T14:12:14.948+0000,Plugin,,,Default,All,,content,org.ekstep.quiz.app,,,1,1496412734948,,hdpi,,,,,,1.0,,,test1,,Draft,,,,,,,,,,,,,,,,,,,,,,,,,
testContent,Content,,,,testContent,,,Hindi,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-24T09:19:05.204+0000,,,,2017-04-24T09:19:05.204+0000,2017-06-02T14:12:15.192+0000,Plugin,,,Default,All,,content,org.ekstep.quiz.app,,,1,1496412735192,,hdpi,,,,,,1.0,,,testContent,,Draft,,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.test.plugin,Content,,,,org.ekstep.test.plugin,,,Hindi,,application/vnd.ekstep.plugin-archive,,,normal,2017-04-24T09:25:44.562+0000,,,,2017-04-24T09:25:44.562+0000,2017-06-02T14:12:15.449+0000,Plugin,,,Default,All,,content,org.ekstep.quiz.app,,,1,1496412735449,,hdpi,,,,,,1.0,,,testContent,,Draft,,,,,,,,,,,,,,,,,,,,,,,,,
Test_QA_3,Content,QA_Content,,,Test_QA_3,,,English,,application/vnd.ekstep.Plugin-archive,,,normal,2017-04-24T09:30:57.025+0000,,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/test_qa_3/artifact/archive_1493026330941.zip,2017-04-24T09:32:11.312+0000,2017-06-02T14:12:15.699+0000,Plugin,,,Default,All,,content,org.ekstep.quiz.app,,,,1496412735700,,hdpi,content/test_qa_3/artifact/archive_1493026330941.zip,,,,,1.0,,1.0,Test_QA_1,,Draft,,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.video,Content,,,EkStep,org.ekstep.video,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.video/add-video_1493102732365_org.ekstep.video_2.0.ecar,Add Video to your Lessons,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.video/add-video_1493102733073_org.ekstep.video_2.0_spine.ecar"",""size"":946.0}}",application/vnd.ekstep.plugin-archive,,,normal,2017-04-20T10:49:19.868+0000,,Grade 1::Other,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.video/artifact/org.ekstep.video-1.0_129_1492677726_1492677745623.zip,2017-04-25T06:45:35.971+0000,2017-06-02T14:12:15.975+0000,Plugin,Kartheek Palla,Ekstep,Default,All,129,content,org.ekstep.quiz.app,5-6::Other,Ekstep,2.0,1496412735975,Draft,hdpi,ecar_files/org.ekstep.video/add-video_1493102732365_org.ekstep.video_2.0.ecar,2017-04-25T06:45:32.333+0000,9240.0,,129,1,literacy,1.0,Add Video,EkStep,Live,do_10094912,English,English,,,,,,,learning,,en,,,,,,,,,,,,,
